Wall time,Step,Value
1565044739.888361,0,0.7620333433151245
1565044879.813693,1,0.9217000007629395
1565045019.5717802,2,0.9448166489601135
1565045162.695254,3,0.9568333625793457
1565045306.4030678,4,0.9646999835968018
1565045451.4502149,5,0.9688000082969666
1565045592.605302,6,0.9730333089828491
1565045736.071989,7,0.976016640663147
1565045877.219062,8,0.9775999784469604
1565046017.476485,9,0.9789833426475525
1565046156.861922,10,0.9804166555404663
1565046296.399526,11,0.9810500144958496
1565046439.648297,12,0.9833666682243347
1565046586.332314,13,0.9835166931152344
1565046732.315972,14,0.9847666621208191
1565047127.816305,0,0.9178000092506409
1565047271.938856,1,0.9783499836921692
1565047417.9634922,2,0.9855166673660278
1565047563.3110359,3,0.9885500073432922
1565047710.929394,4,0.9913833141326904
1565047857.615191,5,0.9922500252723694
1565048000.221013,6,0.9936333298683167
1565048147.4729888,7,0.9947666525840759
1565048293.890242,8,0.9954333305358887
1565048440.3969011,9,0.996233344078064
1565048582.971492,10,0.9971166849136353
1565048733.232028,11,0.9975000023841858
1565048878.20315,12,0.998116672039032
1565049022.881479,13,0.9986666440963745
1565049167.235421,14,0.9986500144004822
1565048813.16363,0,0.11223333328962326
1565048954.05324,1,0.10778333246707916
1565049094.797507,2,0.10903333127498627
1565049233.253839,3,0.10845000296831131
1565049369.055918,4,0.1082666665315628
1565049504.713226,5,0.1081666648387909
1565049640.44901,6,0.10885000228881836
1565049776.090152,7,0.10918333381414413
1565049911.8147671,8,0.10790000110864639
1565050047.442003,9,0.10631666332483292
1565050183.0511732,10,0.10823333263397217
1565050318.670581,11,0.10823333263397217
1565050454.440684,12,0.10930000245571136
1565050590.108021,13,0.10944999754428864
1565050725.7422369,14,0.10798333585262299
1565071229.05115,0,0.9370666742324829
1565071386.751691,1,0.9763666391372681
1565071549.691107,2,0.9813666939735413
1565071712.2433841,3,0.9857166409492493
1565071884.639842,4,0.9878666400909424
1565072056.9768472,5,0.9888833165168762
1565072228.6058948,6,0.9904500246047974
1565072400.735187,7,0.9922166466712952
1565072573.4298398,8,0.9923833608627319
1565072744.756937,9,0.9928833246231079
1565072916.9834182,10,0.9937000274658203
1565073088.105571,11,0.9943000078201294
1565073260.002527,12,0.9954000115394592
1565073431.7616289,13,0.9938333630561829
1565073603.529872,14,0.9958166480064392
1565071867.5472908,0,0.9653666615486145
1565072039.821735,1,0.9852499961853027
1565072211.5947552,2,0.9899333119392395
1565072383.840767,3,0.9915833473205566
1565072556.368599,4,0.9941999912261963
1565072728.0874822,5,0.9955666661262512
1565072900.2753549,6,0.9965500235557556
1565073071.94011,7,0.9969833493232727
1565073244.259669,8,0.9979000091552734
1565073416.013403,9,0.9984833598136902
1565073587.9173188,10,0.9990500211715698
1565073745.14978,11,0.9995999932289124
1565073903.606893,12,0.9994000196456909
1565074064.4327319,13,0.9995999932289124
1565074225.194923,14,0.9996166825294495
